Age,Gender,Country,family_history,treatment,work_interfere,self_employed,remote_work,no_employees,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
46,Male,United States,Yes,No,Sometimes,Yes,Yes,More than 1000,Yes,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes
36,Male,France,Yes,No,NA,Yes,Yes,More than 1000,Yes,No,No,Yes,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
29,Male,United States,Yes,Yes,Sometimes,No,No,100-500,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No,No
31,Male,United States,No,No,Never,Yes,Yes,More than 1000,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,No
46,Male,United States,No,Yes,Often,No,Yes,26-100,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No
41,Male,United States,No,Yes,Never,No,No,More than 1000,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Yes,Don't know,No
33,Male,United States,Yes,Yes,Rarely,No,No,26-100,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,No,Yes,Yes,No,Yes,Don't know,No
35,Male,United States,Yes,Yes,Sometimes,No,No,More than 1000,No,Yes,Yes,No,Don't know,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No
33,Male,United States,No,No,NA,No,No,More than 1000,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No
35,Female,United States,Yes,Yes,Rarely,No,Yes,More than 1000,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No
34,Male,United States,No,Yes,Sometimes,No,Yes,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No,Some of them,No,No,No,No,No
37,Male,United Kingdom,No,No,Sometimes,No,No,More than 1000,Yes,No,No,No,No,Don't know,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No,No
32,Male,United Kingdom,No,No,Never,No,Yes,More than 1000,Yes,No,No,No,No,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,Maybe,No,No
31,Male,United States,Yes,No,Rarely,Yes,Yes,More than 1000,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,No,No,Yes
30,Male,United Kingdom,Yes,Yes,Sometimes,No,Yes,500-1000,Yes,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,Don't know,No
42,Male,United States,Yes,Yes,Sometimes,No,Yes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know,No
40,Female,United States,No,Yes,Sometimes,No,No,More than 1000,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Yes,No
27,Male,United States,No,Yes,Rarely,No,No,More than 1000,Yes,No,Yes,No,No,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
29,Male,Canada,No,No,Rarely,No,No,More than 1000,Yes,No,No,No,No,Don't know,Very easy,Yes,Maybe,Some of them,No,No,No,Don't know,No
38,Male,Portugal,No,No,NA,No,No,100-500,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No
50,Male,United States,No,No,NA,No,No,100-500,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No
35,Male,United States,No,Yes,Rarely,No,Yes,More than 1000,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
24,Male,United Kingdom,No,Yes,Sometimes,No,No,More than 1000,Yes,No,No,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Yes,No,Yes
35,Male,United States,No,No,NA,No,Yes,More than 1000,Yes,Yes,Not sure,Don't know,Yes,Don't know,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,Don't know,No
27,Male,Canada,Yes,Yes,Sometimes,No,No,More than 1000,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,No,No,No,Yes,No
18,Male,Netherlands,No,No,Often,No,No,More than 1000,Yes,No,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe,No,Some of them,No,No,No,No
30,Male,United States,No,Yes,Sometimes,No,No,26-100,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No
38,Female,United States,Yes,Yes,Sometimes,No,No,26-100,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
28,Male,United Kingdom,No,No,NA,No,No,26-100,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Maybe,Yes,Don't know,No
34,Male,United States,No,No,NA,No,No,More than 1000,Yes,No,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No
26,Male,Canada,No,No,Sometimes,Yes,No,More than 1000,Yes,No,Yes,Yes,No,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No
30,Male,United States,Yes,Yes,Rarely,No,No,26-100,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No
22,Male,United States,Yes,Yes,Often,No,No,More than 1000,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,No,Maybe,Don't know,No
33,Male,United States,No,No,NA,No,Yes,100-500,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
31,Male,United States,No,No,NA,No,Yes,100-500,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No
32,Male,United States,No,No,Never,No,Yes,More than 1000,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No
28,Male,Switzerland,No,No,NA,No,No,100-500,Yes,No,No,No,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No
27,Male,United States,Yes,Yes,Rarely,No,No,26-100,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No
32,Male,United States,Yes,No,NA,No,Yes,More than 1000,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
24,Male,United States,Yes,Yes,Sometimes,No,Yes,26-100,Yes,Don't know,No,No,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Yes,Yes,No,No
26,Male,United States,No,No,NA,No,No,26-100,No,No,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Don't know,No
33,Male,Canada,Yes,Yes,Often,No,Yes,More than 1000,Yes,Don't know,No,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No
44,Male,United States,Yes,Yes,Sometimes,No,No,More than 1000,No,Yes,No,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,No,No,Maybe,Don't know,Yes
26,Female,Poland,No,Yes,Sometimes,No,Yes,26-100,Yes,Don't know,Not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
27,Male,United Kingdom,No,No,Never,No,No,100-500,Yes,Yes,Not sure,No,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
26,Male,France,No,No,NA,No,No,26-100,Yes,No,No,No,No,Don't know,Very easy,Yes,No,No,No,No,No,No,Yes
35,Male,Canada,No,No,Sometimes,No,No,More than 1000,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Don't know,No
40,Male,United States,Yes,No,Sometimes,No,Yes,More than 1000,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,No,Yes
23,Female,Australia,Yes,Yes,Often,No,Yes,More than 1000,Yes,No,Not sure,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No
36,Male,United States,No,No,Sometimes,No,Yes,100-500,Yes,Yes,No,Don't know,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes,No
31,Female,United States,No,No,NA,No,Yes,26-100,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
34,Male,United States,No,No,Rarely,Yes,Yes,More than 1000,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No
28,Male,France,No,No,Never,No,No,26-100,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
34,Male,Canada,No,No,Never,No,No,More than 1000,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No
